Name,Time_min,Time_max,Space_min,Space_max,Category,Reference
Protein folding,1e-09,1.0,1e-27,1e-24,Molecular,
DNA replication (single origin),1.0,1000.0,1e-18,1e-15,Molecular,
mRNA transcription,10.0,1000.0,1e-18,1e-15,Molecular,
ATP synthesis (single molecule),0.001,0.1,1e-27,1e-25,Molecular,
Enzyme catalytic cycle,1e-06,0.01,1e-27,1e-24,Molecular,
Ribosome translation,10.0,1000.0,1e-24,1e-21,Molecular,
Virus assembly,100.0,10000.0,1e-24,1e-20,Molecular,
Bacterial cell division,1200.0,72000.0,1e-18,1e-15,Cellular,
Mitochondrial fission/fusion,10.0,1000.0,1e-18,1e-16,Cellular,
Calcium signaling wave,0.1,10.0,1e-15,1e-12,Cellular,
Yeast cell cycle,5400.0,7200.0,1e-16,1e-14,Cellular,
White blood cell migration,600.0,36000.0,1e-15,1e-12,Cellular,
Neuron action potential,0.001,0.01,1e-15,1e-13,Cellular,
Red blood cell lifespan,10000000.0,10400000.0,1e-16,1e-14,Cellular,
Liver cell turnover,15000000.0,50000000.0,1e-14,1e-12,Cellular,
Skin cell turnover (epidermis),2400000.0,3500000.0,1e-14,1e-11,Cellular,
Heartbeat (single beat),0.3,1.0,7e-05,0.0003,Organism,Standard cardiac physiology; stroke volume ~70 mL
Human breath cycle,3,6,0.0003,0.006,Organism,
Butterfly wing beat,0.01,0.1,1e-09,1e-06,Organism,
Housefly lifespan,2400000.0,2600000.0,1e-08,1e-06,Organism,
Mayfly adult lifespan,3600.0,86400.0,1e-08,1e-06,Organism,
E. coli doubling,1200.0,7200.0,1e-18,1e-15,Organism,
Mouse lifespan,63000000.0,95000000.0,1e-05,3e-05,Organism,
Domestic cat lifespan,380000000.0,630000000.0,0.003,0.01,Organism,
Dog lifespan,300000000.0,500000000.0,0.005,0.05,Organism,
Human lifespan,2200000000.0,3200000000.0,0.05,0.1,Organism,WHO life expectancy tables; body volume ~0.07 m³
Blue whale lifespan,2500000000.0,3500000000.0,50.0,150.0,Organism,Sears & Perrin (2018) Mammalian Species 50(966):15-29
Giant tortoise lifespan,3500000000.0,5700000000.0,0.01,0.05,Organism,
Bowhead whale lifespan,6300000000.0,6300000000.0,30.0,100.0,Organism,
Greenland shark lifespan,8600000000.0,16000000000.0,1.0,5.0,Organism,Nielsen et al. (2016) Science 353(6300):702-704
Grass blade growth,86400.0,2600000.0,1e-07,1e-05,Organism,
Sunflower lifespan,7800000.0,16000000.0,0.001,0.01,Organism,
Oak tree lifespan,3200000000.0,16000000000.0,10.0,1000.0,Organism,
Giant sequoia lifespan,63000000000.0,100000000000.0,1000.0,5000.0,Organism,Stephenson (2000) USGS; trunk volume estimates vary widely
Bristlecone pine lifespan,150000000000.0,160000000000.0,5.0,500.0,Organism,
Mushroom fruiting body,86400.0,600000.0,1e-05,0.001,Organism,
Mycelial network (forest floor),32000000.0,3200000000.0,1000.0,1000000.0,Organism,
Pando aspen clone lifespan,2500000000000.0,2500000000000.0,500000.0,2000000.0,Organism,Mock et al. (2008) Mol Ecol; DeWoody et al. (2008); 43 ha × ~2m root depth
Tide pool cycle,43000.0,45000.0,0.01,1.0,Ecosystem,
Forest fire,3600.0,2600000.0,1000000.0,10000000000.0,Ecosystem,
Coral reef growth,3200000000.0,320000000000.0,1000000.0,10000000000.0,Ecosystem,
Kelp forest cycle,32000000.0,320000000.0,10000.0,10000000.0,Ecosystem,
Prairie grassland cycle,32000000.0,3200000000.0,10000000.0,10000000000.0,Ecosystem,
Seasonal algal bloom,2600000.0,16000000.0,1000000000.0,10000000000000.0,Ecosystem,
Mangrove forest succession,3200000000.0,32000000000.0,100000.0,100000000.0,Ecosystem,
Lake turnover (seasonal mixing),86400.0,2600000.0,1000000.0,10000000000.0,Ecosystem,
River delta formation,32000000000.0,3200000000000.0,1000000000.0,1000000000000.0,Ecosystem,
Soil formation (1 cm topsoil),32000000000.0,320000000000.0,0.01,10000.0,Ecosystem,
Raindrop fall,100.0,1000.0,1e-08,1e-06,Atmosphere,
Thunderstorm cell,1800.0,7200.0,1000000000.0,100000000000.0,Atmosphere,
Tornado,600.0,7200.0,1000000.0,1000000000.0,Atmosphere,
Hurricane lifetime,86400.0,2600000.0,100000000000000.0,1e+16,Atmosphere,
Monsoon season,10000000.0,16000000.0,1e+16,1e+18,Atmosphere,
El Niño event,30000000.0,60000000.0,1e+17,1e+18,Atmosphere,
Ice age cycle (Milankovitch),3200000000000.0,4000000000000.0,1e+19,1e+20,Atmosphere,
Surface wave,1,20,0.1,1000.0,Ocean,
Internal wave,600.0,86400.0,1000000.0,10000000000.0,Ocean,
Tidal cycle,43000.0,45000.0,1000000000000.0,1000000000000000.0,Ocean,
Ocean eddy (mesoscale),864000.0,10000000.0,10000000000.0,100000000000000.0,Ocean,
Thermohaline circulation (full loop),32000000000.0,63000000000.0,1e+17,1.3e+18,Ocean,
Tsunami propagation,3600.0,72000.0,10000000000.0,100000000000000.0,Ocean,
Computer transistor switch,1e-10,1e-09,1e-21,1e-18,Human-built,
LED light pulse,1e-09,1e-06,1e-12,1e-09,Human-built,
Microchip (processor die),32000000.0,320000000.0,1e-07,1e-05,Human-built,
Smartphone,63000000.0,160000000.0,0.0001,0.0002,Human-built,
A book (physical object),320000000.0,32000000000.0,0.001,0.002,Human-built,
A house,1600000000.0,6300000000.0,300.0,1000.0,Human-built,
Skyscraper lifespan,3200000000.0,6300000000.0,100000.0,1000000.0,Human-built,
Highway bridge,1600000000.0,3200000000.0,10000.0,100000.0,Human-built,
Hoover Dam,3200000000.0,32000000000.0,35000000.0,35000000.0,Human-built,
Panama Canal,3200000000.0,32000000000.0,200000000.0,200000000.0,Human-built,
Mining operation (open pit),320000000.0,3200000000.0,10000000.0,1000000000.0,Human-built,
Oil reservoir extraction,320000000.0,1600000000.0,100000000.0,10000000000.0,Human-built,
Landfill decomposition,3200000000.0,32000000000.0,100000.0,10000000.0,Human-built,
Nuclear waste half-life (Pu-239),760000000000.0,760000000000.0,0.01,100.0,Human-built,
Great Wall of China,73000000000.0,73000000000.0,3000000.0,3000000.0,Human-built,
International Space Station orbit,470000000.0,950000000.0,900.0,900.0,Human-built,
A pond,32000000.0,3200000000.0,10.0,10000.0,Geographic,
A lake (e.g. Tahoe),320000000000.0,32000000000000.0,150000000000.0,150000000000.0,Geographic,
Manhattan island,320000000000.0,320000000000.0,1000000000.0,1000000000.0,Geographic,
San Francisco Bay,320000000000.0,3200000000000.0,10000000000.0,10000000000.0,Geographic,
Grand Canyon formation,190000000000000.0,190000000000000.0,40000000000.0,40000000000.0,Geographic,
France (area × avg elevation),320000000000000.0,320000000000000.0,330000000000000.0,330000000000000.0,Geographic,
Mediterranean Sea,32000000000000.0,320000000000000.0,3750000000000000.0,3750000000000000.0,Geographic,
Amazon rainforest,320000000000.0,3200000000000.0,550000000000000.0,550000000000000.0,Geographic,
Sahara Desert,3200000000000.0,32000000000000.0,9000000000000000.0,9000000000000000.0,Geographic,
Pacific Ocean,320000000000000.0,320000000000000.0,7.1e+17,7.1e+17,Geographic,
Volcanic eruption (single event),3600.0,2600000.0,10000000.0,100000000000.0,Geological,
Earthquake rupture,1.0,300.0,1000000000.0,10000000000000.0,Geological,
Mountain building (orogeny),32000000000000.0,320000000000000.0,1000000000000000.0,1e+17,Geological,
Continental drift (1 cm/yr),3200000000000000.0,3.2e+16,1e+19,1e+20,Geological,
Continental crust formation,1.3e+17,1.3e+17,7.2e+18,7.2e+18,Geological,
Pangaea assembly/breakup,6300000000000000.0,1e+16,1e+19,1.5e+20,Geological,
Glacial valley carving,3200000000000.0,32000000000000.0,10000000000.0,10000000000000.0,Geological,
Stalactite growth (1 m),32000000000.0,320000000000.0,0.001,0.1,Geological,
Fossil formation (mineralization),3200000000000.0,320000000000000.0,1e-06,0.01,Geological,
Coal seam formation,320000000000000.0,3200000000000000.0,1000000000.0,1000000000000.0,Geological,
Earth's rotation (1 day),86400.0,86400.0,1.08e+21,1.08e+21,Planetary,
Earth's orbit (1 year),31500000.0,31500000.0,1.08e+21,1.08e+21,Planetary,
Moon formation,3600.0,360000.0,2.2e+19,2.2e+19,Planetary,
Earth's age,1.4e+17,1.4e+17,1.08e+21,1.08e+21,Planetary,
Sun's main sequence lifetime,3.2e+17,3.2e+17,1.4e+27,1.4e+27,Planetary,
