,Timestamp,Initials,Lab,Short Project Name (max 10 char),Time Scale,Spatial Scale,Optional: What concept does your research address?,Optional: What question are you trying to answer with your research?,Color
0,2/6/2025 9:54:03,P01,Lab F,V burst,1.00E+06: ~12 days,1.00E-6: 1 cubic cm (1 milliliter),Relationship between host growth rate and viral burst size ,How does viral burst size vary and what impact does that have on community stability,
1,2/6/2025 9:54:18,P02,Lab B,EcomicroF,1.00E+04: ~3 hours,1.00E-12: 100 cubic µm (pollen grain),Microscale interactions on particles,Spatialtemporal patterns on particles,
2,2/6/2025 9:54:21,P03,Lab D,FINDD,1.00E+06: ~12 days,1.00E+09: cubic km,Scaling heterogeneity ,Impact on carbon cycling,
3,2/6/2025 9:55:14,P04,Lab F,spatialcol,1.00E+06: ~12 days,1.00E-15: 10 cubic µm (typical yeast cell volume),Spatial context of microbial activity,How does the spatial arrangement of microbes on marine particles influence their metabolic activities?,
4,2/6/2025 9:55:26,P05,Lab C,statPhase,1.00E+04: ~3 hours,1.00E-6: 1 cubic cm (1 milliliter),Resource allocation principles during nutrient starvation,,
5,2/6/2025 9:55:35,P06,Lab E,PBRs:),1.00E+06: ~12 days,1.00E-15: 10 cubic µm (typical yeast cell volume),Phyto-bacteria interactions ,,
6,2/6/2025 9:55:58,P07,Lab C,0s and 1s,1.00E+04: ~3 hours,1.00E-6: 1 cubic cm (1 milliliter),Bioinformatics/modelling,Cellular adaptation and resource utilization,
7,2/6/2025 9:56:33,P08,Lab D,Tricho,1.00E+06: ~12 days,1.00E-18: 1 cubic µm (typical bacterial cell volume),Microbial nutrient exchange,How is Trichodesmium’s phisiology influenced by colonial behavior?,
8,2/6/2025 9:56:34,P09,Lab C,physiology,1.00E+04: ~3 hours,1.00E-18: 1 cubic µm (typical bacterial cell volume),,,
9,2/6/2025 9:56:45,P02,Lab B,EcoMicroF,1.00E+06: ~12 days,1.00E-9: 1 cubic mm,Spatialtemporal patterns of microbes at millimeter scale,Does spatialtemporal heterogeneity on particle surface change with flow?,
10,2/6/2025 9:56:53,P10,Lab C,OAS X-Feed,1.00E+01: 10s of seconds,1.00E-18: 1 cubic µm (typical bacterial cell volume),Metabolic dynamics,Through what metabolic mechanism does Organic Acid Stress promote interspecies cooperation through nutrient supplementation and environmental de-acidification,
11,2/6/2025 9:56:54,P11,Lab D,LOOB,1.00E+04: ~3 hours,1.00E-3: 1 cubic dm (1 liter),Proteome anticipation of perturbations,"How do bacteria prepare themselves for dynamic environments, and how does that define thier niche?",
12,2/6/2025 9:57:33,P12,Lab D,NCOG_metaT,1.00E+09: ~31 years,1.00E+12: 10s of cubic km (~Volume of Mount Everest),Heterotrophic metabolism,What are drivers/predictors of heterotrophic community composition and function?,
13,2/6/2025 9:58:05,P13,Lab C,Protease,1.00E+04: ~3 hours,1.00E-9: 1 cubic mm,Scavenging strategy,Why proteolytic growth is not a ubiquitous trait,
14,2/6/2025 9:58:09,P10,Lab C,OAS X-Feed,1.00E+04: ~3 hours,1.00E-6: 1 cubic cm (1 milliliter),Metabolic dynamics and environmental detoxification,Through what metabolic mechanism does Organic Acid Stress promote interspecies cooperation through nutrient supplementation and environmental de-acidification,
15,2/6/2025 9:58:21,P14,Lab D,Bact<->POM,1.00E+07: ~3 months,1.00E+03: deka (da),Bacteria dynamics on particulate matter,How do bacterial communities influence sinking particles; Why arent particle associated bacteria all stuck on the sea floor,
16,2/6/2025 9:58:25,P15,Lab A,DaMP,1.00E+06: ~12 days,1.00E-18: 1 cubic µm (typical bacterial cell volume),Microbial Interactions in Diatoms,What the heck they even do… why are they in association with Planctos,
17,2/6/2025 9:58:28,P16,Lab D,CarboPAM,1.00E+04: ~3 hours,1.00E-15: 10 cubic µm (typical yeast cell volume), Tradeoffs in carbohydrate degradation,How fast and thorough are carbohydrates degraded?,
18,2/6/2025 9:58:32,P06,Lab E,PhytoMut,1.00E+06: ~12 days,1.00E-15: 10 cubic µm (typical yeast cell volume),Interactions between different phyto taxa and bacteria,,
19,2/6/2025 9:58:43,P17,Lab A,AEGEAN,1.00E+15: ~31 million years,1.00E+18: cubic Mm (approx oceanic volume),Gene family expansion in adaptation to new environmental niches,How does gene family expansion contribute to functional novelty and niche expansion,
20,2/6/2025 9:59:36,P10,Lab C,OAS X-Feed,1.00E+06: ~12 days,1.00E-6: 1 cubic cm (1 milliliter),Community Stability,How does OAS induced cross-feeding influence community structure and stability?,
21,2/6/2025 9:59:59,P18,Lab F,Viral-Agg,1.00E+06: ~12 days,1.00E-6: 1 cubic cm (1 milliliter),Viral influence on particle flux in ocean,Heterotroph lysis by phage- shunt or sink?,
22,2/6/2025 10:00:04,P04,Lab F,particomp,1.00E+06: ~12 days,1.00E-30: cubic angstrom (CO2 is ~60),Glycan composition of diatom particles,How does the glycan composition of diatom biomass and particles change with nutrient stress?,
23,2/6/2025 10:00:29,P03,Lab D,NCOG,1.00E+07: ~3 months,1.00E+09: cubic km,Interactions between phototrophs and heterotrophs ,,
24,2/6/2025 10:01:15,P02,Lab B,Detach,1.00E+01: 10s of seconds,1.00E-12: 100 cubic µm (pollen grain),Detachment of bacterial cells with metabolite influx,Do bacterial cells detach particle surface when there is an influx of easy to catabolize carbon sources?,
25,2/6/2025 10:01:21,P06,Lab E,MSPCIE,1.00E+04: ~3 hours,1.00E-6: 1 cubic cm (1 milliliter),The role of phyto chemotaxis in interactions with bacteria,,
26,2/6/2025 10:01:45,P10,Lab C,MetPrefEco,1.00E+04: ~3 hours,1.00E-6: 1 cubic cm (1 milliliter),Microbial metabolism and ecology,How does the metabolic preferences of bacteria influence the ecological dynamics of the communities in which they are found?,
27,2/6/2025 10:02:31,P18,Lab F,glowPhage,1.00E+04: ~3 hours,1.00E-24: 10 cubic nm (typcial virus volume),What fraction of viruses are active? Turnover?,,
28,2/6/2025 10:03:16,P19,Lab C,Starvation,1.00E+04: ~3 hours,1.00E-18: 1 cubic µm (typical bacterial cell volume),Resource allocation under starvation relates to cell viability. ,Understand what a bacterial cell do to survive under starvation condition and what physiological factor determines the cell lifespan and viability after starvation. ,
29,2/6/2025 10:03:39,P20,Lab A,PBRs,1.00E+07: ~3 months,1.00E-15: 10 cubic µm (typical yeast cell volume),Bacterial and algal interactions at stable state,How can nutrient limitation influence interactions between bacteria and algae (specifically metabolite secretion),
30,2/6/2025 10:18:26,P21,Lab F,PhageHost,1.00E+04: ~3 hours,1.00E-6: 1 cubic cm (1 milliliter),Bacteriophage Infection,How does host conditions affect phage dynamics,
